,Day,Date,Month,Year,1,2,3,4,5,6,Lucky,Jackpot,Prize,Draw
0,Wed,02,January,2002,"2,","6,","20,","24,","29,",32,(21),1,16627894,629
1,Sat,05,January,2002,"2,","16,","28,","34,","41,",42,(38),2,3456768,630
2,Wed,09,January,2002,"16,","20,","28,","29,","41,",45,(12),1,4192368,631
3,Sat,12,January,2002,"1,","3,","11,","12,","20,",24,(38),5,1140630,632
4,Wed,16,January,2002,"15,","16,","23,","27,","32,",44,(17),2,1741485,633
5,Sat,19,January,2002,"7,","18,","34,","37,","39,",42,(21),2,3094212,634
6,Wed,23,January,2002,"6,","8,","14,","19,","20,",44,(41),5,655116,635
7,Sat,26,January,2002,"10,","13,","20,","25,","27,",32,(1),1,6469676,636
8,Wed,30,January,2002,"12,","19,","27,","39,","42,",47,(4),15,216650,637
9,Sat,02,February,2002,"6,","12,","30,","39,","45,",46,(11),4,1838268,638
10,Wed,06,February,2002,"2,","13,","20,","36,","37,",40,(34),1,4128013,639
11,Sat,09,February,2002,"7,","15,","20,","28,","40,",48,(4),7,2857143,640
12,Wed,13,February,2002,"4,","7,","12,","13,","16,",29,(22),5,567388,641
13,Sat,16,February,2002,"10,","20,","24,","36,","37,",44,(1),5,1406167,642
14,Wed,20,February,2002,"17,","21,","24,","25,","46,",49,(22),0,4114217,643
15,Sat,23,February,2002,"8,","9,","27,","34,","43,",48,(25),2,5609430,644
16,Wed,27,February,2002,"6,","12,","28,","31,","39,",44,(42),4,822407,645
17,Sat,02,March,2002,"8,","11,","25,","33,","37,",43,(30),4,1561567,646
18,Wed,06,March,2002,"5,","17,","20,","31,","33,",34,(26),0,3884590,647
19,Sat,09,March,2002,"9,","18,","20,","21,","39,",48,(6),4,2905346,648
20,Wed,13,March,2002,"1,","7,","15,","23,","27,",34,(26),2,1538665,649
21,Sat,16,March,2002,"5,","6,","26,","41,","42,",44,(11),1,6954473,650
22,Wed,20,March,2002,"10,","18,","25,","28,","37,",43,(14),3,1097849,651
23,Sat,23,March,2002,"9,","24,","28,","30,","31,",40,(49),2,3280113,652
24,Wed,27,March,2002,"6,","9,","20,","24,","35,",36,(39),1,3670990,653
25,Sat,30,March,2002,"8,","14,","25,","36,","38,",47,(15),5,1345761,654
26,Wed,03,April,2002,"4,","8,","18,","26,","32,",34,(10),3,1109309,655
27,Sat,06,April,2002,"17,","18,","32,","35,","39,",48,(8),2,3459386,656
28,Wed,10,April,2002,"5,","11,","24,","26,","34,",41,(2),4,879229,657
29,Sat,13,April,2002,"3,","19,","22,","40,","41,",44,(35),1,6431042,658
30,Wed,17,April,2002,"5,","13,","19,","30,","32,",43,(6),3,1127690,659
31,Sat,20,April,2002,"7,","14,","21,","32,","43,",44,(31),12,435925,660
32,Wed,24,April,2002,"3,","13,","17,","20,","21,",30,(23),3,1035865,661
33,Sat,27,April,2002,"11,","19,","32,","33,","43,",44,(3),1,5737443,662
34,Wed,01,May,2002,"10,","15,","19,","22,","24,",32,(41),0,3393830,663
35,Sat,04,May,2002,"8,","9,","11,","17,","45,",47,(24),2,5014594,664
36,Wed,08,May,2002,"8,","10,","42,","44,","47,",49,(14),1,3716227,665
37,Sat,11,May,2002,"1,","25,","27,","35,","43,",46,(22),3,2406221,666
38,Wed,15,May,2002,"4,","6,","10,","19,","40,",49,(9),2,1655264,667
39,Sat,18,May,2002,"21,","22,","30,","31,","38,",48,(13),4,2141915,668
40,Wed,22,May,2002,"5,","9,","18,","39,","43,",46,(48),1,3367911,669
41,Sat,25,May,2002,"7,","14,","15,","25,","27,",40,(18),5,1098199,670
42,Wed,29,May,2002,"19,","26,","30,","34,","40,",44,(13),1,3462775,671
43,Sat,01,June,2002,"13,","19,","27,","36,","41,",44,(3),9,711607,672
44,Wed,05,June,2002,"3,","5,","7,","26,","43,",47,(10),1,2823827,673
45,Sat,08,June,2002,"15,","16,","18,","28,","36,",47,(49),1,6321292,674
46,Wed,12,June,2002,"1,","2,","10,","34,","47,",48,(12),2,1849375,675
47,Sat,15,June,2002,"3,","13,","14,","23,","30,",36,(32),1,5566359,676
48,Wed,19,June,2002,"18,","21,","32,","36,","39,",41,(9),1,3614444,677
49,Sat,22,June,2002,"14,","17,","18,","22,","32,",37,(12),2,7500000,678
50,Wed,26,June,2002,"6,","7,","25,","33,","38,",43,(23),3,1038997,679
51,Sat,29,June,2002,"4,","25,","28,","36,","42,",49,(37),5,1284612,680
52,Wed,03,July,2002,"2,","4,","5,","22,","27,",29,(24),1,2730112,681
53,Sat,06,July,2002,"1,","20,","42,","43,","44,",49,(9),2,3513911,682
54,Wed,10,July,2002,"4,","18,","19,","20,","30,",43,(24),2,1544347,683
55,Sat,13,July,2002,"15,","21,","23,","24,","31,",32,(8),0,5923360,684
56,Wed,17,July,2002,"10,","11,","31,","41,","45,",46,(42),2,5082914,685
57,Sat,20,July,2002,"7,","10,","16,","34,","47,",48,(36),2,3013767,686
58,Wed,24,July,2002,"7,","13,","21,","34,","35,",43,(10),2,1456675,687
59,Sat,27,July,2002,"24,","26,","28,","29,","34,",44,(45),0,5976877,688
60,Wed,31,July,2002,"9,","13,","15,","23,","26,",45,(49),1,9796682,689
61,Sat,03,August,2002,"6,","11,","19,","35,","36,",44,(39),1,5461495,690
62,Wed,07,August,2002,"10,","22,","23,","30,","33,",42,(36),0,3050304,691
63,Sat,10,August,2002,"13,","16,","23,","28,","31,",32,(18),2,4932599,692
64,Wed,14,August,2002,"1,","6,","8,","20,","29,",38,(31),2,1499078,693
65,Sat,17,August,2002,"19,","20,","31,","32,","35,",40,(23),0,6473575,694
66,Wed,21,August,2002,"5,","14,","19,","32,","34,",42,(35),5,2054525,695
67,Sat,24,August,2002,"4,","17,","26,","28,","38,",46,(3),3,1859900,696
68,Wed,28,August,2002,"4,","7,","9,","17,","36,",46,(23),2,1446954,697
69,Sat,31,August,2002,"2,","18,","23,","31,","43,",46,(11),3,1911881,698
70,Wed,04,September,2002,"2,","23,","28,","33,","45,",47,(13),1,3188600,699
71,Sat,07,September,2002,"7,","21,","29,","31,","38,",41,(28),2,2668819,700
72,Wed,11,September,2002,"15,","20,","28,","37,","40,",44,(23),0,3263625,701
73,Sat,14,September,2002,"8,","14,","24,","27,","29,",32,(21),3,2928214,702
74,Wed,18,September,2002,"4,","7,","12,","29,","37,",42,(14),2,7500000,703
75,Sat,21,September,2002,"1,","6,","7,","11,","13,",30,(27),11,395540,704
76,Wed,25,September,2002,"6,","21,","29,","32,","33,",47,(4),1,3331512,705
77,Sat,28,September,2002,"2,","9,","10,","11,","13,",16,(26),0,4855501,706
78,Wed,02,October,2002,"2,","3,","14,","15,","21,",48,(8),1,8919798,707
79,Sat,05,October,2002,"15,","16,","18,","36,","37,",49,(28),0,6693924,708
80,Wed,09,October,2002,"7,","22,","25,","31,","44,",47,(1),5,2076385,709
81,Sat,12,October,2002,"16,","18,","35,","36,","39,",48,(15),1,6569034,710
82,Wed,16,October,2002,"13,","19,","25,","28,","34,",45,(32),0,3235260,711
83,Sat,19,October,2002,"12,","30,","43,","44,","45,",47,(10),0,9972677,712
84,Wed,23,October,2002,"11,","26,","36,","43,","44,",46,(29),3,5177425,713
85,Sat,26,October,2002,"7,","10,","24,","32,","33,",45,(29),1,5678712,714
86,Wed,30,October,2002,"10,","21,","26,","31,","48,",49,(29),0,3593850,715
87,Sat,02,November,2002,"5,","28,","32,","39,","42,",48,(21),1,9736131,716
88,Wed,06,November,2002,"2,","6,","8,","21,","41,",42,(7),1,3180880,717
89,Sat,09,November,2002,"4,","5,","8,","19,","31,",37,(36),2,2669310,718
90,Wed,13,November,2002,"3,","6,","8,","14,","24,",31,(35),5,534771,719
91,Sat,16,November,2002,"10,","30,","34,","42,","48,",49,(6),3,2183513,720
92,Wed,20,November,2002,"16,","18,","19,","44,","46,",48,(3),0,3444405,721
93,Sat,23,November,2002,"5,","6,","12,","19,","30,",47,(25),4,2209089,722
94,Wed,27,November,2002,"11,","25,","35,","36,","42,",47,(18),2,1732913,723
95,Sat,30,November,2002,"6,","7,","20,","29,","37,",39,(25),3,1971095,724
96,Wed,04,December,2002,"2,","4,","23,","26,","28,",40,(29),2,1505203,725
97,Sat,07,December,2002,"2,","19,","29,","34,","35,",36,(18),1,6195673,726
98,Wed,11,December,2002,"10,","13,","15,","16,","29,",48,(49),0,3163600,727
99,Sat,14,December,2002,"11,","21,","38,","39,","45,",47,(26),2,4849284,728
100,Wed,18,December,2002,"11,","17,","21,","22,","40,",42,(19),0,3018790,729
101,Sat,21,December,2002,"4,","22,","23,","37,","43,",44,(19),1,9083937,730
